Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Y	assembled-molecule	Y	Chromosome	CM000686.1	=	NC_000024.9	Primary Assembly	59373566	chrY
HSCHR1_RANDOM_CTG5	unlocalized-scaffold	1	Chromosome	GL000191.1	=	NT_113878.1	Primary Assembly	106433	chr1_gl000191_random
HSCHR1_RANDOM_CTG12	unlocalized-scaffold	1	Chromosome	GL000192.1	=	NT_167207.1	Primary Assembly	547496	chr1_gl000192_random
HSCHR4_RANDOM_CTG2	unlocalized-scaffold	4	Chromosome	GL000193.1	=	NT_113885.1	Primary Assembly	189789	chr4_gl000193_random
HSCHR4_RANDOM_CTG3	unlocalized-scaffold	4	Chromosome	GL000194.1	=	NT_113888.1	Primary Assembly	191469	chr4_gl000194_random
HSCHR7_RANDOM_CTG1	unlocalized-scaffold	7	Chromosome	GL000195.1	=	NT_113901.1	Primary Assembly	182896	chr7_gl000195_random
HSCHR8_RANDOM_CTG1	unlocalized-scaffold	8	Chromosome	GL000196.1	=	NT_113909.1	Primary Assembly	38914	chr8_gl000196_random
HSCHR8_RANDOM_CTG4	unlocalized-scaffold	8	Chromosome	GL000197.1	=	NT_113907.1	Primary Assembly	37175	chr8_gl000197_random
HSCHR9_RANDOM_CTG1	unlocalized-scaffold	9	Chromosome	GL000198.1	=	NT_113914.1	Primary Assembly	90085	chr9_gl000198_random
HSCHR9_RANDOM_CTG2	unlocalized-scaffold	9	Chromosome	GL000199.1	=	NT_113916.2	Primary Assembly	169874	chr9_gl000199_random
HSCHR9_RANDOM_CTG4	unlocalized-scaffold	9	Chromosome	GL000200.1	=	NT_113915.1	Primary Assembly	187035	chr9_gl000200_random
HSCHR9_RANDOM_CTG5	unlocalized-scaffold	9	Chromosome	GL000201.1	=	NT_113911.1	Primary Assembly	36148	chr9_gl000201_random
HSCHR11_RANDOM_CTG2	unlocalized-scaffold	11	Chromosome	GL000202.1	=	NT_113921.2	Primary Assembly	40103	chr11_gl000202_random
HSCHR17_RANDOM_CTG1	unlocalized-scaffold	17	Chromosome	GL000203.1	=	NT_113941.1	Primary Assembly	37498	chr17_gl000203_random
HSCHR17_RANDOM_CTG2	unlocalized-scaffold	17	Chromosome	GL000204.1	=	NT_113943.1	Primary Assembly	81310	chr17_gl000204_random
HSCHR17_RANDOM_CTG3	unlocalized-scaffold	17	Chromosome	GL000205.1	=	NT_113930.1	Primary Assembly	174588	chr17_gl000205_random
HSCHR17_RANDOM_CTG4	unlocalized-scaffold	17	Chromosome	GL000206.1	=	NT_113945.1	Primary Assembly	41001	chr17_gl000206_random
HSCHR18_RANDOM_CTG1	unlocalized-scaffold	18	Chromosome	GL000207.1	=	NT_113947.1	Primary Assembly	4262	chr18_gl000207_random
HSCHR19_RANDOM_CTG1	unlocalized-scaffold	19	Chromosome	GL000208.1	=	NT_113948.1	Primary Assembly	92689	chr19_gl000208_random
HSCHR19_RANDOM_CTG2	unlocalized-scaffold	19	Chromosome	GL000209.1	=	NT_113949.1	Primary Assembly	159169	chr19_gl000209_random
HSCHR21_RANDOM_CTG9	unlocalized-scaffold	21	Chromosome	GL000210.1	=	NT_113950.2	Primary Assembly	27682	chr21_gl000210_random
HSCHRUN_RANDOM_CTG1	unplaced-scaffold	na	na	GL000211.1	=	NT_113961.1	Primary Assembly	166566	chrUn_gl000211
HSCHRUN_RANDOM_CTG2	unplaced-scaffold	na	na	GL000212.1	=	NT_113923.1	Primary Assembly	186858	chrUn_gl000212
HSCHRUN_RANDOM_CTG3	unplaced-scaffold	na	na	GL000213.1	=	NT_167208.1	Primary Assembly	164239	chrUn_gl000213
HSCHRUN_RANDOM_CTG4	unplaced-scaffold	na	na	GL000214.1	=	NT_167209.1	Primary Assembly	137718	chrUn_gl000214
HSCHRUN_RANDOM_CTG5	unplaced-scaffold	na	na	GL000215.1	=	NT_167210.1	Primary Assembly	172545	chrUn_gl000215
HSCHRUN_RANDOM_CTG6	unplaced-scaffold	na	na	GL000216.1	=	NT_167211.1	Primary Assembly	172294	chrUn_gl000216
HSCHRUN_RANDOM_CTG7	unplaced-scaffold	na	na	GL000217.1	=	NT_167212.1	Primary Assembly	172149	chrUn_gl000217
HSCHRUN_RANDOM_CTG9	unplaced-scaffold	na	na	GL000218.1	=	NT_113889.1	Primary Assembly	161147	chrUn_gl000218
HSCHRUN_RANDOM_CTG10	unplaced-scaffold	na	na	GL000219.1	=	NT_167213.1	Primary Assembly	179198	chrUn_gl000219
HSCHRUN_RANDOM_CTG11	unplaced-scaffold	na	na	GL000220.1	=	NT_167214.1	Primary Assembly	161802	chrUn_gl000220
HSCHRUN_RANDOM_CTG13	unplaced-scaffold	na	na	GL000221.1	=	NT_167215.1	Primary Assembly	155397	chrUn_gl000221
HSCHRUN_RANDOM_CTG14	unplaced-scaffold	na	na	GL000222.1	=	NT_167216.1	Primary Assembly	186861	chrUn_gl000222
HSCHRUN_RANDOM_CTG15	unplaced-scaffold	na	na	GL000223.1	=	NT_167217.1	Primary Assembly	180455	chrUn_gl000223
HSCHRUN_RANDOM_CTG16	unplaced-scaffold	na	na	GL000224.1	=	NT_167218.1	Primary Assembly	179693	chrUn_gl000224
HSCHRUN_RANDOM_CTG17	unplaced-scaffold	na	na	GL000225.1	=	NT_167219.1	Primary Assembly	211173	chrUn_gl000225
HSCHRUN_RANDOM_CTG19	unplaced-scaffold	na	na	GL000226.1	=	NT_167220.1	Primary Assembly	15008	chrUn_gl000226
HSCHRUN_RANDOM_CTG20	unplaced-scaffold	na	na	GL000227.1	=	NT_167221.1	Primary Assembly	128374	chrUn_gl000227
HSCHRUN_RANDOM_CTG21	unplaced-scaffold	na	na	GL000228.1	=	NT_167222.1	Primary Assembly	129120	chrUn_gl000228
HSCHRUN_RANDOM_CTG22	unplaced-scaffold	na	na	GL000229.1	=	NT_167223.1	Primary Assembly	19913	chrUn_gl000229
HSCHRUN_RANDOM_CTG23	unplaced-scaffold	na	na	GL000230.1	=	NT_167224.1	Primary Assembly	43691	chrUn_gl000230
HSCHRUN_RANDOM_CTG24	unplaced-scaffold	na	na	GL000231.1	=	NT_167225.1	Primary Assembly	27386	chrUn_gl000231
HSCHRUN_RANDOM_CTG25	unplaced-scaffold	na	na	GL000232.1	=	NT_167226.1	Primary Assembly	40652	chrUn_gl000232
HSCHRUN_RANDOM_CTG26	unplaced-scaffold	na	na	GL000233.1	=	NT_167227.1	Primary Assembly	45941	chrUn_gl000233
HSCHRUN_RANDOM_CTG27	unplaced-scaffold	na	na	GL000234.1	=	NT_167228.1	Primary Assembly	40531	chrUn_gl000234
HSCHRUN_RANDOM_CTG28	unplaced-scaffold	na	na	GL000235.1	=	NT_167229.1	Primary Assembly	34474	chrUn_gl000235
HSCHRUN_RANDOM_CTG29	unplaced-scaffold	na	na	GL000236.1	=	NT_167230.1	Primary Assembly	41934	chrUn_gl000236
HSCHRUN_RANDOM_CTG30	unplaced-scaffold	na	na	GL000237.1	=	NT_167231.1	Primary Assembly	45867	chrUn_gl000237
HSCHRUN_RANDOM_CTG31	unplaced-scaffold	na	na	GL000238.1	=	NT_167232.1	Primary Assembly	39939	chrUn_gl000238
HSCHRUN_RANDOM_CTG32	unplaced-scaffold	na	na	GL000239.1	=	NT_167233.1	Primary Assembly	33824	chrUn_gl000239
HSCHRUN_RANDOM_CTG33	unplaced-scaffold	na	na	GL000240.1	=	NT_167234.1	Primary Assembly	41933	chrUn_gl000240
HSCHRUN_RANDOM_CTG34	unplaced-scaffold	na	na	GL000241.1	=	NT_167235.1	Primary Assembly	42152	chrUn_gl000241
HSCHRUN_RANDOM_CTG35	unplaced-scaffold	na	na	GL000242.1	=	NT_167236.1	Primary Assembly	43523	chrUn_gl000242
HSCHRUN_RANDOM_CTG36	unplaced-scaffold	na	na	GL000243.1	=	NT_167237.1	Primary Assembly	43341	chrUn_gl000243
HSCHRUN_RANDOM_CTG37	unplaced-scaffold	na	na	GL000244.1	=	NT_167238.1	Primary Assembly	39929	chrUn_gl000244
HSCHRUN_RANDOM_CTG38	unplaced-scaffold	na	na	GL000245.1	=	NT_167239.1	Primary Assembly	36651	chrUn_gl000245
HSCHRUN_RANDOM_CTG39	unplaced-scaffold	na	na	GL000246.1	=	NT_167240.1	Primary Assembly	38154	chrUn_gl000246
HSCHRUN_RANDOM_CTG40	unplaced-scaffold	na	na	GL000247.1	=	NT_167241.1	Primary Assembly	36422	chrUn_gl000247
HSCHRUN_RANDOM_CTG41	unplaced-scaffold	na	na	GL000248.1	=	NT_167242.1	Primary Assembly	39786	chrUn_gl000248
HSCHRUN_RANDOM_CTG42	unplaced-scaffold	na	na	GL000249.1	=	NT_167243.1	Primary Assembly	38502	chrUn_gl000249
HSCHR6_MHC_APD_CTG1	alt-scaffold	6	Chromosome	GL000250.1	=	NT_167244.1	ALT_REF_LOCI_1	4622290	chr6_apd_hap1
HSCHR6_MHC_COX_CTG1	alt-scaffold	6	Chromosome	GL000251.1	=	NT_113891.2	ALT_REF_LOCI_2	4795371	chr6_cox_hap2
HSCHR6_MHC_DBB_CTG1	alt-scaffold	6	Chromosome	GL000252.1	=	NT_167245.1	ALT_REF_LOCI_3	4610396	chr6_dbb_hap3
HSCHR6_MHC_MANN_CTG1	alt-scaffold	6	Chromosome	GL000253.1	=	NT_167246.1	ALT_REF_LOCI_4	4683263	chr6_mann_hap4
HSCHR6_MHC_MCF_CTG1	alt-scaffold	6	Chromosome	GL000254.1	=	NT_167247.1	ALT_REF_LOCI_5	4833398	chr6_mcf_hap5
HSCHR6_MHC_QBL_CTG1	alt-scaffold	6	Chromosome	GL000255.1	=	NT_167248.1	ALT_REF_LOCI_6	4611984	chr6_qbl_hap6
HSCHR6_MHC_SSTO_CTG1	alt-scaffold	6	Chromosome	GL000256.1	=	NT_167249.1	ALT_REF_LOCI_7	4928567	chr6_ssto_hap7
HSCHR4_1_CTG9	alt-scaffold	4	Chromosome	GL000257.1	=	NT_167250.1	ALT_REF_LOCI_8	590426	chr4_ctg9_hap1
HSCHR17_1_CTG5	alt-scaffold	17	Chromosome	GL000258.1	=	NT_167251.1	ALT_REF_LOCI_9	1680828	chr17_ctg5_hap1
