Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	UCSC-style-name
HSCHRUN_RANDOM_199	unplaced-scaffold	na	na	KI270372.1	=	NT_187491.1	Primary Assembly	chrUn_KI270372v1
HSCHRUN_RANDOM_200	unplaced-scaffold	na	na	KI270373.1	=	NT_187492.1	Primary Assembly	chrUn_KI270373v1
HSCHRUN_RANDOM_198	unplaced-scaffold	na	na	KI270374.1	=	NT_187490.1	Primary Assembly	chrUn_KI270374v1
HSCHRUN_RANDOM_201	unplaced-scaffold	na	na	KI270375.1	=	NT_187493.1	Primary Assembly	chrUn_KI270375v1
HSCHRUN_RANDOM_197	unplaced-scaffold	na	na	KI270376.1	=	NT_187489.1	Primary Assembly	chrUn_KI270376v1
HSCHRUN_RANDOM_179	unplaced-scaffold	na	na	KI270378.1	=	NT_187471.1	Primary Assembly	chrUn_KI270378v1
HSCHRUN_RANDOM_180	unplaced-scaffold	na	na	KI270379.1	=	NT_187472.1	Primary Assembly	chrUn_KI270379v1
HSCHRUN_RANDOM_194	unplaced-scaffold	na	na	KI270381.1	=	NT_187486.1	Primary Assembly	chrUn_KI270381v1
HSCHRUN_RANDOM_196	unplaced-scaffold	na	na	KI270382.1	=	NT_187488.1	Primary Assembly	chrUn_KI270382v1
HSCHRUN_RANDOM_190	unplaced-scaffold	na	na	KI270383.1	=	NT_187482.1	Primary Assembly	chrUn_KI270383v1
HSCHRUN_RANDOM_192	unplaced-scaffold	na	na	KI270384.1	=	NT_187484.1	Primary Assembly	chrUn_KI270384v1
HSCHRUN_RANDOM_195	unplaced-scaffold	na	na	KI270385.1	=	NT_187487.1	Primary Assembly	chrUn_KI270385v1
HSCHRUN_RANDOM_188	unplaced-scaffold	na	na	KI270386.1	=	NT_187480.1	Primary Assembly	chrUn_KI270386v1
HSCHRUN_RANDOM_183	unplaced-scaffold	na	na	KI270387.1	=	NT_187475.1	Primary Assembly	chrUn_KI270387v1
HSCHRUN_RANDOM_186	unplaced-scaffold	na	na	KI270388.1	=	NT_187478.1	Primary Assembly	chrUn_KI270388v1
HSCHRUN_RANDOM_181	unplaced-scaffold	na	na	KI270389.1	=	NT_187473.1	Primary Assembly	chrUn_KI270389v1
HSCHRUN_RANDOM_182	unplaced-scaffold	na	na	KI270390.1	=	NT_187474.1	Primary Assembly	chrUn_KI270390v1
HSCHRUN_RANDOM_189	unplaced-scaffold	na	na	KI270391.1	=	NT_187481.1	Primary Assembly	chrUn_KI270391v1
HSCHRUN_RANDOM_193	unplaced-scaffold	na	na	KI270392.1	=	NT_187485.1	Primary Assembly	chrUn_KI270392v1
HSCHRUN_RANDOM_191	unplaced-scaffold	na	na	KI270393.1	=	NT_187483.1	Primary Assembly	chrUn_KI270393v1
HSCHRUN_RANDOM_187	unplaced-scaffold	na	na	KI270394.1	=	NT_187479.1	Primary Assembly	chrUn_KI270394v1
HSCHRUN_RANDOM_184	unplaced-scaffold	na	na	KI270395.1	=	NT_187476.1	Primary Assembly	chrUn_KI270395v1
HSCHRUN_RANDOM_185	unplaced-scaffold	na	na	KI270396.1	=	NT_187477.1	Primary Assembly	chrUn_KI270396v1
HSCHRUN_RANDOM_113	unplaced-scaffold	na	na	KI270411.1	=	NT_187409.1	Primary Assembly	chrUn_KI270411v1
HSCHRUN_RANDOM_112	unplaced-scaffold	na	na	KI270412.1	=	NT_187408.1	Primary Assembly	chrUn_KI270412v1
HSCHRUN_RANDOM_114	unplaced-scaffold	na	na	KI270414.1	=	NT_187410.1	Primary Assembly	chrUn_KI270414v1
HSCHRUN_RANDOM_119	unplaced-scaffold	na	na	KI270417.1	=	NT_187415.1	Primary Assembly	chrUn_KI270417v1
HSCHRUN_RANDOM_116	unplaced-scaffold	na	na	KI270418.1	=	NT_187412.1	Primary Assembly	chrUn_KI270418v1
HSCHRUN_RANDOM_115	unplaced-scaffold	na	na	KI270419.1	=	NT_187411.1	Primary Assembly	chrUn_KI270419v1
HSCHRUN_RANDOM_117	unplaced-scaffold	na	na	KI270420.1	=	NT_187413.1	Primary Assembly	chrUn_KI270420v1
HSCHRUN_RANDOM_120	unplaced-scaffold	na	na	KI270422.1	=	NT_187416.1	Primary Assembly	chrUn_KI270422v1
HSCHRUN_RANDOM_121	unplaced-scaffold	na	na	KI270423.1	=	NT_187417.1	Primary Assembly	chrUn_KI270423v1
HSCHRUN_RANDOM_118	unplaced-scaffold	na	na	KI270424.1	=	NT_187414.1	Primary Assembly	chrUn_KI270424v1
HSCHRUN_RANDOM_122	unplaced-scaffold	na	na	KI270425.1	=	NT_187418.1	Primary Assembly	chrUn_KI270425v1
HSCHRUN_RANDOM_123	unplaced-scaffold	na	na	KI270429.1	=	NT_187419.1	Primary Assembly	chrUn_KI270429v1
HSCHRUN_RANDOM_128	unplaced-scaffold	na	na	KI270435.1	=	NT_187424.1	Primary Assembly	chrUn_KI270435v1
HSCHRUN_RANDOM_129	unplaced-scaffold	na	na	KI270438.1	=	NT_187425.1	Primary Assembly	chrUn_KI270438v1
HSCHRUN_RANDOM_124	unplaced-scaffold	na	na	KI270442.1	=	NT_187420.1	Primary Assembly	chrUn_KI270442v1
HSCHRUN_RANDOM_203	unplaced-scaffold	na	na	KI270448.1	=	NT_187495.1	Primary Assembly	chrUn_KI270448v1
HSCHRUN_RANDOM_126	unplaced-scaffold	na	na	KI270465.1	=	NT_187422.1	Primary Assembly	chrUn_KI270465v1
HSCHRUN_RANDOM_125	unplaced-scaffold	na	na	KI270466.1	=	NT_187421.1	Primary Assembly	chrUn_KI270466v1
HSCHRUN_RANDOM_127	unplaced-scaffold	na	na	KI270467.1	=	NT_187423.1	Primary Assembly	chrUn_KI270467v1
HSCHRUN_RANDOM_130	unplaced-scaffold	na	na	KI270468.1	=	NT_187426.1	Primary Assembly	chrUn_KI270468v1
HSCHRUN_RANDOM_141	unplaced-scaffold	na	na	KI270507.1	=	NT_187437.1	Primary Assembly	chrUn_KI270507v1
HSCHRUN_RANDOM_134	unplaced-scaffold	na	na	KI270508.1	=	NT_187430.1	Primary Assembly	chrUn_KI270508v1
HSCHRUN_RANDOM_132	unplaced-scaffold	na	na	KI270509.1	=	NT_187428.1	Primary Assembly	chrUn_KI270509v1
HSCHRUN_RANDOM_131	unplaced-scaffold	na	na	KI270510.1	=	NT_187427.1	Primary Assembly	chrUn_KI270510v1
HSCHRUN_RANDOM_139	unplaced-scaffold	na	na	KI270511.1	=	NT_187435.1	Primary Assembly	chrUn_KI270511v1
HSCHRUN_RANDOM_136	unplaced-scaffold	na	na	KI270512.1	=	NT_187432.1	Primary Assembly	chrUn_KI270512v1
HSCHRUN_RANDOM_140	unplaced-scaffold	na	na	KI270515.1	=	NT_187436.1	Primary Assembly	chrUn_KI270515v1
HSCHRUN_RANDOM_135	unplaced-scaffold	na	na	KI270516.1	=	NT_187431.1	Primary Assembly	chrUn_KI270516v1
HSCHRUN_RANDOM_142	unplaced-scaffold	na	na	KI270517.1	=	NT_187438.1	Primary Assembly	chrUn_KI270517v1
HSCHRUN_RANDOM_133	unplaced-scaffold	na	na	KI270518.1	=	NT_187429.1	Primary Assembly	chrUn_KI270518v1
HSCHRUN_RANDOM_137	unplaced-scaffold	na	na	KI270519.1	=	NT_187433.1	Primary Assembly	chrUn_KI270519v1
HSCHRUN_RANDOM_204	unplaced-scaffold	na	na	KI270521.1	=	NT_187496.1	Primary Assembly	chrUn_KI270521v1
HSCHRUN_RANDOM_138	unplaced-scaffold	na	na	KI270522.1	=	NT_187434.1	Primary Assembly	chrUn_KI270522v1
HSCHRUN_RANDOM_144	unplaced-scaffold	na	na	KI270528.1	=	NT_187440.1	Primary Assembly	chrUn_KI270528v1
HSCHRUN_RANDOM_143	unplaced-scaffold	na	na	KI270529.1	=	NT_187439.1	Primary Assembly	chrUn_KI270529v1
HSCHRUN_RANDOM_145	unplaced-scaffold	na	na	KI270530.1	=	NT_187441.1	Primary Assembly	chrUn_KI270530v1
HSCHRUN_RANDOM_147	unplaced-scaffold	na	na	KI270538.1	=	NT_187443.1	Primary Assembly	chrUn_KI270538v1
HSCHRUN_RANDOM_146	unplaced-scaffold	na	na	KI270539.1	=	NT_187442.1	Primary Assembly	chrUn_KI270539v1
HSCHRUN_RANDOM_148	unplaced-scaffold	na	na	KI270544.1	=	NT_187444.1	Primary Assembly	chrUn_KI270544v1
HSCHRUN_RANDOM_149	unplaced-scaffold	na	na	KI270548.1	=	NT_187445.1	Primary Assembly	chrUn_KI270548v1
HSCHRUN_RANDOM_158	unplaced-scaffold	na	na	KI270579.1	=	NT_187450.1	Primary Assembly	chrUn_KI270579v1
HSCHRUN_RANDOM_156	unplaced-scaffold	na	na	KI270580.1	=	NT_187448.1	Primary Assembly	chrUn_KI270580v1
HSCHRUN_RANDOM_157	unplaced-scaffold	na	na	KI270581.1	=	NT_187449.1	Primary Assembly	chrUn_KI270581v1
HSCHRUN_RANDOM_162	unplaced-scaffold	na	na	KI270582.1	=	NT_187454.1	Primary Assembly	chrUn_KI270582v1
HSCHRUN_RANDOM_154	unplaced-scaffold	na	na	KI270583.1	=	NT_187446.1	Primary Assembly	chrUn_KI270583v1
HSCHRUN_RANDOM_161	unplaced-scaffold	na	na	KI270584.1	=	NT_187453.1	Primary Assembly	chrUn_KI270584v1
HSCHRUN_RANDOM_155	unplaced-scaffold	na	na	KI270587.1	=	NT_187447.1	Primary Assembly	chrUn_KI270587v1
HSCHRUN_RANDOM_163	unplaced-scaffold	na	na	KI270588.1	=	NT_187455.1	Primary Assembly	chrUn_KI270588v1
HSCHRUN_RANDOM_159	unplaced-scaffold	na	na	KI270589.1	=	NT_187451.1	Primary Assembly	chrUn_KI270589v1
HSCHRUN_RANDOM_160	unplaced-scaffold	na	na	KI270590.1	=	NT_187452.1	Primary Assembly	chrUn_KI270590v1
HSCHRUN_RANDOM_165	unplaced-scaffold	na	na	KI270591.1	=	NT_187457.1	Primary Assembly	chrUn_KI270591v1
HSCHRUN_RANDOM_164	unplaced-scaffold	na	na	KI270593.1	=	NT_187456.1	Primary Assembly	chrUn_KI270593v1
HSCHRUN_RANDOM_CTG17	unplaced-scaffold	na	na	KI270741.1	=	NT_187497.1	Primary Assembly	chrUn_KI270741v1
HSCHRUN_RANDOM_CTG42	unplaced-scaffold	na	na	KI270742.1	=	NT_187513.1	Primary Assembly	chrUn_KI270742v1
HSCHRUN_RANDOM_CTG20	unplaced-scaffold	na	na	KI270743.1	=	NT_187498.1	Primary Assembly	chrUn_KI270743v1
HSCHRUN_RANDOM_CTG21	unplaced-scaffold	na	na	KI270744.1	=	NT_187499.1	Primary Assembly	chrUn_KI270744v1
HSCHRUN_RANDOM_CTG22	unplaced-scaffold	na	na	KI270745.1	=	NT_187500.1	Primary Assembly	chrUn_KI270745v1
HSCHRUN_RANDOM_CTG23	unplaced-scaffold	na	na	KI270746.1	=	NT_187501.1	Primary Assembly	chrUn_KI270746v1
HSCHRUN_RANDOM_CTG24	unplaced-scaffold	na	na	KI270747.1	=	NT_187502.1	Primary Assembly	chrUn_KI270747v1
HSCHRUN_RANDOM_CTG25	unplaced-scaffold	na	na	KI270748.1	=	NT_187503.1	Primary Assembly	chrUn_KI270748v1
HSCHRUN_RANDOM_CTG26	unplaced-scaffold	na	na	KI270749.1	=	NT_187504.1	Primary Assembly	chrUn_KI270749v1
HSCHRUN_RANDOM_CTG27	unplaced-scaffold	na	na	KI270750.1	=	NT_187505.1	Primary Assembly	chrUn_KI270750v1
HSCHRUN_RANDOM_CTG28	unplaced-scaffold	na	na	KI270751.1	=	NT_187506.1	Primary Assembly	chrUn_KI270751v1
HSCHRUN_RANDOM_CTG29	unplaced-scaffold	na	na	KI270752.1	=	NT_187507.1	Primary Assembly	chrUn_KI270752v1
HSCHRUN_RANDOM_CTG30	unplaced-scaffold	na	na	KI270753.1	=	NT_187508.1	Primary Assembly	chrUn_KI270753v1
HSCHRUN_RANDOM_CTG33	unplaced-scaffold	na	na	KI270754.1	=	NT_187509.1	Primary Assembly	chrUn_KI270754v1
HSCHRUN_RANDOM_CTG34	unplaced-scaffold	na	na	KI270755.1	=	NT_187510.1	Primary Assembly	chrUn_KI270755v1
HSCHRUN_RANDOM_CTG35	unplaced-scaffold	na	na	KI270756.1	=	NT_187511.1	Primary Assembly	chrUn_KI270756v1
HSCHRUN_RANDOM_CTG36	unplaced-scaffold	na	na	KI270757.1	=	NT_187512.1	Primary Assembly	chrUn_KI270757v1
HSCHR1_1_CTG31	alt-scaffold	1	Chromosome	GL383518.1	=	NW_003315905.1	ALT_REF_LOCI_1	chr1_GL383518v1_alt
HSCHR1_2_CTG31	alt-scaffold	1	Chromosome	GL383519.1	=	NW_003315906.1	ALT_REF_LOCI_1	chr1_GL383519v1_alt
HSCHR1_3_CTG31	alt-scaffold	1	Chromosome	GL383520.2	=	NW_003315907.2	ALT_REF_LOCI_1	chr1_GL383520v2_alt
HSCHR1_1_CTG32_1	alt-scaffold	1	Chromosome	KI270759.1	=	NT_187516.1	ALT_REF_LOCI_1	chr1_KI270759v1_alt
HSCHR1_1_CTG11	alt-scaffold	1	Chromosome	KI270760.1	=	NT_187514.1	ALT_REF_LOCI_1	chr1_KI270760v1_alt
HSCHR1_2_CTG32_1	alt-scaffold	1	Chromosome	KI270761.1	=	NT_187518.1	ALT_REF_LOCI_1	chr1_KI270761v1_alt
HSCHR1_1_CTG3	alt-scaffold	1	Chromosome	KI270762.1	=	NT_187515.1	ALT_REF_LOCI_1	chr1_KI270762v1_alt
HSCHR1_3_CTG32_1	alt-scaffold	1	Chromosome	KI270763.1	=	NT_187519.1	ALT_REF_LOCI_1	chr1_KI270763v1_alt
HSCHR1_4_CTG32_1	alt-scaffold	1	Chromosome	KI270764.1	=	NT_187521.1	ALT_REF_LOCI_1	chr1_KI270764v1_alt
HSCHR1_4_CTG31	alt-scaffold	1	Chromosome	KI270765.1	=	NT_187520.1	ALT_REF_LOCI_1	chr1_KI270765v1_alt
HSCHR1_2_CTG3	alt-scaffold	1	Chromosome	KI270766.1	=	NT_187517.1	ALT_REF_LOCI_1	chr1_KI270766v1_alt
